0000,1234,08,48,00.5,1, 16,A
0999,4321,08,23,02.0,3, 15,A
1000,0987,08,02,01.5,1, 70,A
1501,1987,12,42,01.5,3, 15,A
1999,6789,10,12,00.5,2, 60,B
2000,8979,12,48,03.0,3, 37,B
2001,9012,03,15,00.8,3, 08,A
2408,2109,05,05,03.0,1, 03,B
2499,2109,05,05,03.0,1, 03,B
2500,2109,10,24,01.5,2, 38,A
2600,6543,01,36,03.0,3, 49,A
2723,5678,11,06,02.5,2, 51,B
2883,3421,04,12,01.5,1, 30,B
2999,8765,15,04,02.5,1, 15,B
3000,4352,18,18,03.5,2, 38,B
3001,5467,04,05,10.0,3, 55,B
3988,2109,05,05,03.0,1, 03,B
0,0,0,0,0,0,0,0
